ID,Name,Tracks
AL011851,UNNAMED,14,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18510821,0000,,TS,22.6,-81.4,60,,,,,,,,,,,,,,
18510821,0600,,TS,23.2,-82.5,60,,,,,,,,,,,,,,
18510821,1200,,HU,23.9,-83.6,70,,,,,,,,,,,,,,
18510821,1800,,HU,24.4,-84.3,70,,,,,,,,,,,,,,
18510822,0000,,HU,25.0,-84.9,80,,,,,,,,,,,,,,
18510822,0600,,HU,25.6,-85.5,80,,,,,,,,,,,,,,
18510822,1200,,HU,26.2,-86.0,90,,,,,,,,,,,,,,
18510822,1800,,HU,26.8,-86.3,90,,,,,,,,,,,,,,
18510823,0000,,HU,27.4,-86.5,100,,,,,,,,,,,,,,
18510823,0600,,HU,28.0,-86.6,100,,,,,,,,,,,,,,
18510823,1200,,HU,28.5,-86.6,100,,,,,,,,,,,,,,
18510823,1800,,HU,29.6,-86.1,100,,,,,,,,,,,,,,
18510823,2100,L,HU,30.1,-85.7,100,,,,,,,,,,,,,,
18510824,0000,,HU,30.7,-85.1,90,,,,,,,,,,,,,,
18510824,0600,,HU,31.6,-84.1,70,,,,,,,,,,,,,,
18510824,1200,,TS,32.5,-83.0,60,,,,,,,,,,,,,,
18510824,1800,,TS,33.4,-81.4,50,,,,,,,,,,,,,,
18510825,0000,,TS,34.0,-80.0,40,,,,,,,,,,,,,,
18510825,0600,,TS,34.8,-78.6,40,,,,,,,,,,,,,,
18510825,1200,,TS,35.8,-77.0,40,,,,,,,,,,,,,,
18510825,1800,,TS,36.8,-75.1,40,,,,,,,,,,,,,,
18510826,0000,,TS,37.8,-73.6,40,,,,,,,,,,,,,,
18510826,0600,,TS,38.9,-71.8,40,,,,,,,,,,,,,,
18510826,1200,,TS,40.0,-70.0,40,,,,,,,,,,,,,,
18510826,1800,,TS,41.3,-66.8,40,,,,,,,,,,,,,,
18510827,0000,,TS,42.8,-63.3,40,,,,,,,,,,,,,,
18510827,0600,,TS,44.5,-60.2,40,,,,,,,,,,,,,,
18510827,1200,,TS,46.4,-57.2,40,,,,,,,,,,,,,,
18510827,1800,,TS,48.5,-54.2,40,,,,,,,,,,,,,,
ID,Name,Tracks
AL051851,UNNAMED,16,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18510913,0000,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
18510913,0600,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
18510913,1200,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
18510913,1800,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
18510914,0000,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
18510914,0600,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
18510914,1200,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
18510914,1800,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
18510915,0000,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
18510915,0600,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
18510915,1200,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
18510915,1800,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
18510916,0000,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
18510916,0600,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
18510916,1200,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
18510916,1800,,TS,32.5,-73.5,50,,,,,,,,,,,,,,
ID,Name,Tracks
AL061851,UNNAMED,17,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18511016,0000,,TS,28.7,-78.0,40,,,,,,,,,,,,,,
18511016,0600,,TS,29.1,-77.8,40,,,,,,,,,,,,,,
18511016,1200,,TS,29.5,-77.5,50,,,,,,,,,,,,,,
18511016,1800,,TS,30.1,-77.1,50,,,,,,,,,,,,,,
18511017,0000,,TS,30.7,-76.6,60,,,,,,,,,,,,,,
18511017,0600,,TS,31.2,-76.3,60,,,,,,,,,,,,,,
18511017,1200,,TS,31.6,-75.9,60,,,,,,,,,,,,,,
18511017,1800,,TS,32.0,-75.5,60,,,,,,,,,,,,,,
18511018,0000,,TS,32.7,-74.9,60,,,,,,,,,,,,,,
18511018,0600,,TS,33.3,-74.3,60,,,,,,,,,,,,,,
18511018,1200,,TS,34.0,-73.8,60,,,,,,,,,,,,,,
18511018,1800,,TS,35.3,-73.0,60,,,,,,,,,,,,,,
18511019,0000,,TS,37.0,-72.6,50,,,,,,,,,,,,,,
18511019,0600,,TS,38.5,-72.1,50,,,,,,,,,,,,,,
18511019,1200,,TS,40.2,-71.8,50,,,,,,,,,,,,,,
18511019,1500,L,TS,41.1,-71.7,50,,,,,,,,,,,,,,
18511019,1800,,TS,42.0,-71.6,40,,,,,,,,,,,,,,
ID,Name,Tracks
AL011852,UNNAMED,45,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18520819,0000,,TS,20.5,-67.1,60,,,,,,,,,,,,,,
18520819,0600,,TS,20.7,-68.0,60,,,,,,,,,,,,,,
18520819,1200,,TS,20.9,-68.8,60,,,,,,,,,,,,,,
18520819,1800,,TS,21.1,-69.6,60,,,,,,,,,,,,,,
18520820,0000,,HU,21.2,-70.6,70,,,,,,,,,,,,,,
18520820,0600,,HU,21.5,-71.9,70,,,,,,,,,,,,,,
18520820,1200,,HU,21.7,-73.0,70,,,,,,,,,,,,,,
18520820,1800,,HU,21.9,-74.0,70,,,,,,,,,,,,,,
18520821,0000,,HU,22.1,-74.9,80,,,,,,,,,,,,,,
18520821,0600,,HU,22.2,-76.1,80,,,,,,,,,,,,,,
18520821,1200,,HU,22.6,-77.1,80,,,,,,,,,,,,,,
18520821,1800,,HU,22.9,-78.1,80,,,,,,,,,,,,,,
18520822,0000,,HU,23.2,-79.3,90,,,,,,,,,,,,,,
18520822,0600,,HU,23.5,-80.1,90,,,,,,,,,,,,,,
18520822,1200,,HU,23.8,-81.1,90,,,,,,,,,,,,,,
18520822,1800,,HU,24.2,-82.1,90,,,,,,,,,,,,,,
18520823,0000,,HU,24.7,-83.1,90,,,,,,,,,,,,,,
18520823,0600,,HU,25.2,-83.9,90,,,,,,,,,,,,,,
18520823,1200,,HU,25.7,-84.6,90,,,,,,,,,,,,,,
18520823,1800,,HU,26.2,-85.3,90,,,,,,,,,,,,,,
18520824,0000,,HU,26.7,-86.0,100,,,,,,,,,,,,,,
18520824,0600,,HU,27.2,-86.6,100,,,,,,,,,,,,,,
18520824,1200,,HU,27.7,-87.1,100,,,,,,,,,,,,,,
18520824,1800,,HU,28.2,-87.5,100,,,,,,,,,,,,,,
18520825,0000,,HU,28.6,-87.8,100,,,,,,,,,,,,,,
18520825,0600,,HU,28.8,-88.0,100,,,,,,,,,,,,,,
18520825,1200,,HU,29.1,-88.2,100,,,,,,,,,,,,,,
18520825,1800,,HU,29.4,-88.4,100,,,,,,,,,,,,,,
18520826,0000,,HU,29.8,-88.6,100,,,,,,,,,,,,,,
18520826,0600,L,HU,30.2,-88.6,100,961,,,,,,,,,,,,,
18520826,1200,,HU,30.6,-88.5,90,,,,,,,,,,,,,,
18520826,1800,,HU,31.2,-88.1,70,,,,,,,,,,,,,,
18520827,0000,,TS,31.8,-87.4,50,,,,,,,,,,,,,,
18520827,0600,,TS,32.3,-86.3,40,,,,,,,,,,,,,,
18520827,1200,,TS,32.8,-84.8,40,,,,,,,,,,,,,,
18520827,1800,,TS,33.2,-82.8,40,,,,,,,,,,,,,,
18520828,0000,,TS,33.5,-80.5,40,,,,,,,,,,,,,,
18520828,0600,,TS,33.8,-78.2,40,,,,,,,,,,,,,,
18520828,1200,,TS,34.0,-76.0,40,,,,,,,,,,,,,,
18520828,1800,,TS,34.4,-74.2,40,,,,,,,,,,,,,,
18520829,0000,,TS,35.2,-72.8,50,,,,,,,,,,,,,,
18520829,0600,,TS,36.4,-71.8,50,,,,,,,,,,,,,,
18520829,1200,,TS,38.0,-70.8,50,,,,,,,,,,,,,,
18520829,1800,,TS,39.6,-69.6,50,,,,,,,,,,,,,,
18520830,0000,,TS,41.0,-68.0,50,,,,,,,,,,,,,,
ID,Name,Tracks
AL021852,UNNAMED,8,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18520905,0000,,HU,17.0,-64.1,70,,,,,,,,,,,,,,
18520905,0600,,HU,17.4,-65.1,70,,,,,,,,,,,,,,
18520905,1200,,HU,17.7,-66.1,70,,,,,,,,,,,,,,
18520905,1800,,TS,18.2,-67.1,60,,,,,,,,,,,,,,
18520906,0000,,TS,18.6,-68.8,60,,,,,,,,,,,,,,
18520906,0600,,TS,19.2,-70.1,50,,,,,,,,,,,,,,
18520906,1200,,TS,19.5,-71.4,40,,,,,,,,,,,,,,
18520906,1800,,TS,19.7,-72.5,40,,,,,,,,,,,,,,
ID,Name,Tracks
AL031852,UNNAMED,20,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18520909,0000,,HU,26.4,-90.4,70,,,,,,,,,,,,,,
18520909,0600,,HU,26.5,-89.6,70,,,,,,,,,,,,,,
18520909,1200,,HU,26.6,-88.8,70,,,,,,,,,,,,,,
18520909,1800,,HU,26.6,-88.1,70,,,,,,,,,,,,,,
18520910,0000,,HU,26.8,-87.4,70,,,,,,,,,,,,,,
18520910,0600,,HU,26.9,-86.6,70,,,,,,,,,,,,,,
18520910,1200,,HU,27.1,-86.1,70,,,,,,,,,,,,,,
18520910,1800,,HU,27.3,-85.6,70,,,,,,,,,,,,,,
18520911,0000,,HU,27.5,-85.1,70,,,,,,,,,,,,,,
18520911,0600,,HU,27.7,-84.6,70,,,,,,,,,,,,,,
18520911,1200,,HU,27.8,-84.0,70,,,,,,,,,,,,,,
18520911,1800,,HU,27.9,-83.4,70,,,,,,,,,,,,,,
18520912,0000,L,HU,28.0,-82.8,70,,,,,,,,,,,,,,
18520912,0600,,TS,28.1,-82.2,60,,,,,,,,,,,,,,
18520912,1200,,TS,28.2,-81.5,50,,,,,,,,,,,,,,
18520912,1800,,TS,28.5,-80.5,50,,,,,,,,,,,,,,
18520913,0000,,TS,29.2,-79.0,60,,,,,,,,,,,,,,
18520913,0600,,HU,30.4,-77.0,70,,,,,,,,,,,,,,
18520913,1200,,HU,32.0,-74.5,70,,,,,,,,,,,,,,
18520913,1800,,HU,34.0,-71.5,70,,,,,,,,,,,,,,
ID,Name,Tracks
AL041852,UNNAMED,36,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18520922,0000,,TS,16.1,-58.5,50,,,,,,,,,,,,,,
18520922,0600,,TS,16.4,-59.1,50,,,,,,,,,,,,,,
18520922,1200,,TS,16.7,-59.7,50,,,,,,,,,,,,,,
18520922,1800,,TS,17.0,-60.3,50,,,,,,,,,,,,,,
18520923,0000,,TS,17.4,-61.2,60,,,,,,,,,,,,,,
18520923,0600,,TS,17.7,-62.2,60,,,,,,,,,,,,,,
18520923,1200,,HU,18.1,-63.1,70,,,,,,,,,,,,,,
18520923,1800,,HU,18.4,-63.7,70,,,,,,,,,,,,,,
18520924,0000,,HU,18.7,-64.3,70,,,,,,,,,,,,,,
18520924,0600,,HU,18.9,-65.0,70,,,,,,,,,,,,,,
18520924,1200,,HU,19.1,-65.8,70,,,,,,,,,,,,,,
18520924,1800,,HU,19.2,-66.6,70,,,,,,,,,,,,,,
18520925,0000,,HU,19.5,-67.4,80,,,,,,,,,,,,,,
18520925,0600,,HU,19.7,-68.1,80,,,,,,,,,,,,,,
18520925,1200,,HU,19.9,-68.8,80,,,,,,,,,,,,,,
18520925,1800,,HU,20.0,-69.6,80,,,,,,,,,,,,,,
18520926,0000,,HU,20.1,-70.3,80,,,,,,,,,,,,,,
18520926,0600,,HU,20.4,-70.9,80,,,,,,,,,,,,,,
18520926,1200,,HU,20.7,-71.6,80,,,,,,,,,,,,,,
18520926,1800,,HU,21.0,-72.1,80,,,,,,,,,,,,,,
18520927,0000,,HU,21.4,-73.0,80,,,,,,,,,,,,,,
18520927,0600,,HU,21.9,-73.6,80,,,,,,,,,,,,,,
18520927,1200,,HU,22.5,-74.0,80,,,,,,,,,,,,,,
18520927,1800,,HU,23.2,-74.4,80,,,,,,,,,,,,,,
18520928,0000,,HU,23.9,-74.6,80,,,,,,,,,,,,,,
18520928,0600,,HU,24.6,-74.6,80,,,,,,,,,,,,,,
18520928,1200,,HU,25.4,-74.5,80,,,,,,,,,,,,,,
18520928,1800,,HU,26.5,-74.0,80,,,,,,,,,,,,,,
18520929,0000,,HU,27.4,-73.5,80,,,,,,,,,,,,,,
18520929,0600,,HU,28.2,-72.9,80,,,,,,,,,,,,,,
18520929,1200,,HU,29.0,-72.3,80,,,,,,,,,,,,,,
18520929,1800,,HU,30.2,-71.5,80,,,,,,,,,,,,,,
18520930,0000,,HU,31.6,-70.5,70,,,,,,,,,,,,,,
18520930,0600,,HU,32.7,-69.6,70,,,,,,,,,,,,,,
18520930,1200,,HU,33.8,-69.1,70,,,,,,,,,,,,,,
18520930,1800,,HU,34.9,-68.6,70,,,,,,,,,,,,,,
ID,Name,Tracks
AL051852,UNNAMED,25,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18521006,0000,,HU,17.0,-73.8,90,,,,,,,,,,,,,,
18521006,0600,,HU,17.1,-75.0,90,,,,,,,,,,,,,,
18521006,1200,,HU,17.2,-76.3,90,,,,,,,,,,,,,,
18521006,1800,,HU,17.2,-77.8,90,,,,,,,,,,,,,,
18521007,0000,,HU,17.7,-79.6,90,,,,,,,,,,,,,,
18521007,0600,,HU,18.2,-81.5,90,,,,,,,,,,,,,,
18521007,1200,,HU,18.7,-83.1,90,,,,,,,,,,,,,,
18521007,1800,,HU,19.5,-84.4,90,,,,,,,,,,,,,,
18521008,0000,,HU,20.4,-85.5,90,,,,,,,,,,,,,,
18521008,0600,,HU,21.2,-86.4,90,,,,,,,,,,,,,,
18521008,1200,,HU,22.4,-86.9,90,,,,,,,,,,,,,,
18521008,1800,,HU,24.0,-86.8,90,,,,,,,,,,,,,,
18521009,0000,,HU,25.6,-86.4,90,,,,,,,,,,,,,,
18521009,0600,,HU,26.9,-85.9,90,,,,,,,,,,,,,,
18521009,1200,,HU,28.0,-85.5,90,,,,,,,,,,,,,,
18521009,1800,,HU,29.2,-84.9,90,,,,,,,,,,,,,,
18521009,2100,L,HU,29.9,-84.4,90,,,,,,,,,,,,,,
18521010,0000,,HU,30.5,-83.9,80,,,,,,,,,,,,,,
18521010,0600,,TS,31.8,-82.8,60,,,,,,,,,,,,,,
18521010,1200,,TS,33.0,-81.1,50,,,,,,,,,,,,,,
18521010,1800,,TS,34.0,-79.5,50,,,,,,,,,,,,,,
18521011,0000,,TS,35.0,-77.0,50,,,,,,,,,,,,,,
18521011,0600,,TS,36.0,-74.0,50,,,,,,,,,,,,,,
18521011,1200,,TS,38.0,-70.0,60,,,,,,,,,,,,,,
18521011,1800,,TS,40.0,-66.0,60,,,,,,,,,,,,,,
ID,Name,Tracks
AL011853,UNNAMED,1,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18530805,1200,,TS,32.5,-69.0,50,,,,,,,,,,,,,,
ID,Name,Tracks
AL021853,UNNAMED,1,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18530810,1200,,TS,12.0,-60.0,40,,,,,,,,,,,,,,
ID,Name,Tracks
AL031853,UNNAMED,48,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18530830,0000,,TS,12.1,-23.2,40,,,,,,,,,,,,,,
18530830,0600,,TS,12.3,-25.1,40,,,,,,,,,,,,,,
18530830,1200,,TS,12.5,-27.0,40,,,,,,,,,,,,,,
18530830,1800,,TS,12.8,-28.9,40,,,,,,,,,,,,,,
18530831,0000,,TS,13.0,-30.9,50,,,,,,,,,,,,,,
18530831,0600,,TS,13.3,-33.0,50,,,,,,,,,,,,,,
18530831,1200,,TS,13.6,-35.0,60,,,,,,,,,,,,,,
18530831,1800,,TS,13.9,-36.8,60,,,,,,,,,,,,,,
18530901,0000,,HU,14.2,-38.5,70,,,,,,,,,,,,,,
18530901,0600,,HU,14.6,-40.5,70,,,,,,,,,,,,,,
18530901,1200,,HU,14.9,-42.3,80,,,,,,,,,,,,,,
18530901,1800,,HU,15.2,-43.9,80,,,,,,,,,,,,,,
18530902,0000,,HU,15.7,-45.7,90,,,,,,,,,,,,,,
18530902,0600,,HU,16.2,-47.3,90,,,,,,,,,,,,,,
18530902,1200,,HU,16.7,-49.0,100,,,,,,,,,,,,,,
18530902,1800,,HU,17.4,-51.0,110,,,,,,,,,,,,,,
18530903,0000,,HU,18.2,-52.8,120,,,,,,,,,,,,,,
18530903,0600,,HU,19.1,-54.6,130,,,,,,,,,,,,,,
18530903,1200,,HU,19.7,-56.2,130,924,,,,,,,,,,,,,
18530903,1800,,HU,20.7,-58.0,130,,,,,,,,,,,,,,
18530904,0000,,HU,21.2,-59.9,120,,,,,,,,,,,,,,
18530904,0600,,HU,22.0,-61.8,120,,,,,,,,,,,,,,
18530904,1200,,HU,22.7,-63.7,120,,,,,,,,,,,,,,
18530904,1800,,HU,23.4,-65.3,120,,,,,,,,,,,,,,
18530905,0000,,HU,24.2,-67.1,120,,,,,,,,,,,,,,
18530905,0600,,HU,25.0,-68.6,120,,,,,,,,,,,,,,
18530905,1200,,HU,25.8,-70.1,120,,,,,,,,,,,,,,
18530905,1800,,HU,26.6,-71.1,120,,,,,,,,,,,,,,
18530906,0000,,HU,27.3,-72.0,120,,,,,,,,,,,,,,
18530906,0600,,HU,28.2,-72.9,120,,,,,,,,,,,,,,
18530906,1200,,HU,29.1,-73.5,120,,,,,,,,,,,,,,
18530906,1800,,HU,30.2,-74.0,120,,,,,,,,,,,,,,
18530907,0000,,HU,31.2,-74.3,110,,,,,,,,,,,,,,
18530907,0600,,HU,32.5,-74.1,110,,,,,,,,,,,,,,
18530907,1200,,HU,33.7,-73.9,100,,,,,,,,,,,,,,
18530907,1800,,HU,34.9,-72.9,100,,,,,,,,,,,,,,
18530908,0000,,HU,36.0,-71.6,100,,,,,,,,,,,,,,
18530908,0600,,HU,36.8,-69.9,100,,,,,,,,,,,,,,
18530908,1200,,HU,37.5,-67.9,100,,,,,,,,,,,,,,
18530908,1800,,HU,38.2,-65.4,100,,,,,,,,,,,,,,
18530909,0000,,HU,39.0,-62.3,100,,,,,,,,,,,,,,
18530909,0600,,HU,39.9,-59.4,90,,,,,,,,,,,,,,
18530909,1200,,HU,40.8,-56.8,80,,,,,,,,,,,,,,
18530909,1800,,HU,41.9,-53.4,70,,,,,,,,,,,,,,
18530910,0000,,HU,42.9,-49.5,70,,,,,,,,,,,,,,
18530910,0600,,HU,43.9,-45.5,70,,,,,,,,,,,,,,
18530910,1200,,HU,45.0,-41.2,70,,,,,,,,,,,,,,
18530910,1800,,HU,46.2,-36.2,70,,,,,,,,,,,,,,
ID,Name,Tracks
AL041853,UNNAMED,12,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18530908,0000,,HU,37.0,-53.0,100,,,,,,,,,,,,,,
18530908,0600,,HU,38.0,-51.0,100,,,,,,,,,,,,,,
18530908,1200,,HU,39.0,-49.0,100,,,,,,,,,,,,,,
18530908,1800,,HU,40.0,-46.8,100,,,,,,,,,,,,,,
18530909,0000,,HU,41.3,-44.0,100,,,,,,,,,,,,,,
18530909,0600,,HU,42.5,-41.5,100,,,,,,,,,,,,,,
18530909,1200,,HU,43.4,-39.3,100,,,,,,,,,,,,,,
18530909,1800,,HU,44.5,-37.2,100,,,,,,,,,,,,,,
18530910,0000,,HU,45.5,-34.7,100,,,,,,,,,,,,,,
18530910,0600,,HU,46.3,-32.3,100,,,,,,,,,,,,,,
18530910,1200,,HU,47.0,-30.0,90,,,,,,,,,,,,,,
18530910,1800,,HU,48.0,-27.5,90,,,,,,,,,,,,,,
ID,Name,Tracks
AL051853,UNNAMED,1,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18530921,1200,,TS,20.0,-95.0,50,,,,,,,,,,,,,,
ID,Name,Tracks
AL061853,UNNAMED,22,
Date,Time,Record Identifier,Status of System,Latitude,Longitude,Max Sustained Wind [kts],Min Pressure [mbars],34kt extent NE,34kt extent SE,34kt extent SW,34kt extent NW,50kt extent NE,50kt extent SE,50kt extent SW,50kt extent NW,64kt extent NE,64kt extent SE,64kt extent SW,64kt extent NW
18530926,0000,,TS,25.8,-62.0,50,,,,,,,,,,,,,,
18530926,0600,,TS,27.4,-62.5,50,,,,,,,,,,,,,,
18530926,1200,,TS,29.0,-62.9,50,,,,,,,,,,,,,,
18530926,1800,,TS,30.6,-63.2,50,,,,,,,,,,,,,,
18530927,0000,,TS,32.9,-62.6,60,,,,,,,,,,,,,,
18530927,0600,,TS,34.8,-61.3,60,,,,,,,,,,,,,,
